Bush, Razorblade Suitcase, Resources/covers/Razorblade_suitcase.jpg, Resources/library/bush_razorblade_suitcase.csv
Kate Bush, Never for Ever, Resources/covers/Katebushneverforever.png, Resources/library/kate_bush_never_for_ever.csv
Damien Dempsey, Seize the Day, Resources/covers/Damien_Dempsey_-_Seize_the_Day.jpg, Resources/library/damien_dempsey_seize_the_day.csv
Beatles, Abbey Road, Resources/covers/Beatles_-_Abbey_Road.jpg, Resources/library/the_beatles_abbey_road.csv
