"Babooshka", 3:20
"Delius (Song of Summer)", 2:51
"Blow Away (For Bill)", 3:33
"All We Ever Look For", 3:47
"Egypt", 4:10
"The Wedding List", 4:15
"Violin", 3:15
"The Infant Kiss", 2:50
"Night Scented Stock", 0:51
"Army Dreamers", 2:55
"Breathing", 5:29
