Personal Holloway, 3:23
Greedy Fly, 4:30
Swallowed, 4:51
Insect Kin, 4:27
Cold Contagious, 6:00
A Tendency to Start Fires, 4:04
Mouth, 5:45
Straight No Chaser, 4:02
History, 4:17
Synapse, 4:52
Communicator, 4:25
Bonedriven, 4:32
Distant Voices, 6:39
